anos;mes;informacion_mes
2022;Enero;"1 de enero:Tricentenario de la Gaceta de México, que se considera como el primer periódico impreso de México.Vigésimo aniversario de la entrada en circulación del euro en Alemania, Andorra, Austria, Bélgica, Ciudad del Vaticano, España, Finlandia, Francia, Grecia, Irlanda, Italia, Luxemburgo, Mónaco, Países Bajos, Portugal y San Marino."
2022;Febrero;1 de febrero: Se cumplen 10 años de la muerte de la poeta polaca Wisława Szymborska.
2022;Marzo;1 de marzo: Centenario del nacimiento del militar y político Isaac Rabin.
2022;Abril;"1 de abril:Centenario de la muerte de Carlos I de Austria y IV de Hungría.Se cumplen 20 años de la muerte del francotirador finés Simo Häyhä.Se cumplen 25 años del Perihelio del Cometa Hale-Bopp.Se cumplen 35 años de la Visita de Juan Pablo II a Chile."
2022;Mayo;"1 de mayo:Se cumplen 450 años de la muerte del papa Pío V.Se cumplen 450 años del nacimiento de San Felipe de Jesús.Se cumplen 40 años de la muerte del general Walther Wenck.Se cumplen 5 años de la muerte del guitarrista Bruce Hampton."
2022;Junio;1 de junio: Se cumplen 60 años de la ejecución del criminal nazi Adolf Eichmann.
2022;Julio;2 de julio: Se cumplen 500 años de la muerte del escritor Antonio de Nebrija.
2022;Agosto;"2 de agosto:Se conmemora el centenario de la muerte del científico Alexander Graham Bell.Se cumplen 10 años de la muerte del historiador John Keegan."
2022;Septiembre;2 de septiembre: Centenario del nacimiento del físico Arthur Ashkin.
2022;Octubre;"1 de octubre:El físico chino Chen Ning Yang cumple 100 años.Se cumplen 5 años del Referéndum de independencia de Cataluña de 2017"
2022;Noviembre;1 de noviembre: Se cumplirán 100 años de la disolución del Imperio Otomano el cual fue gobernado por la Dinastía Osmanlí, entre los años 1299 y 1922.
2022;Diciembre;1 de diciembre: Se cumplen 70 años de la muerte del diplomático Vittorio Emanuele Orlando.
2022;Enero;"1 de enero:Continúa la pandemia de COVID-19, que desde diciembre de 2019, ha dejado un saldo de 288 millones de casos confirmados, 5.4 millones de muertes, y 244 millones de recuperados desde el inicio de la pandemia, se han administrado 9160 millones de vacunas en todo el mundo desde diciembre del 2020, se ha notado una gran diferencia en el número de casos entre un año y otro, debido al surgimiento de peligrosas variantes durante el 2021, siendo ómicron la más preocupante debido a la cantidad de mutaciones que ponen en riesgo la eficacia de las vacunas disponibles y al abrupto crecimiento de casos en todas las regiones del mundo por su facilidad de propagación.7​En un santuario religioso de Cachemira, India, se produce una estampida que deja una cifra de 12 muertos y 13 heridos.8​Tras 2 años de interrupciones y luego de ser cancelado en 2021 por la pandemia de COVID-19, se realiza el Desfile de las Rosas en Pasadena, CaliforniEl presidente de Estados Unidos, Joe Biden y el presidente ruso Vladímir Putin tienen una conversación telefónica ante la escalada de tensión entre ambos países debido a la presencia militar rusa en la frontera con Ucrania.10​
2022;Marzo;"1 de marzo:El presidente de Estados Unidos, Joe Biden, pronuncia su segundo discurso del estado de la Unión.91​92​ Bielorrusia se une al ataque contra Ucrania, al reportarse tropas bielorrusas dirigirse hacia la ciudad ucraniana de Chernihiv, al norte del país. Sin embargo, el presidente Aleksandr Lukashenko negó que Bielorrusia se haya unido a la invasión y afirmó que tropas rusas no atacan a Ucrania desde su territorio. Un convoy militar ruso de más de 60 kilómetros de longitud se dirige rumbo a Kiev.93​ Ucrania empieza a utilizar drones fabricados en Turquía contra los convoyes rusos, dejando numerosas bajas en el ejército ruso.94​ La plataforma de animes Funimation y Wakanim Svod fusionan su nombre a Crunchyroll.95​96​"
